Index,Count,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Passenger total,"1,299","1,271","1,258","1,249","1,280","1,280","1,308","1,305","1,316","1,309","1,105","1,254"
1,Freight total,479,476,470,482,482,490,499,520,539,546,505,563
